atom,p3
T1_750073,1
T1_751406,1
T1_1351739,1
T1_752506,1
T1_1523829,1
T1_745366,1
T1_746284,1
T1_746973,1
T1_180887,1
T1_1696506,1
T1_719887,1
T1_1352032,1
T1_286690,1
T1_1416714,1
T1_132255,1
T1_452216,1
T1_748691,1
T1_629027,1
T1_815693,1
T1_745790,1
T1_1319761,1
T1_1080774,1
T1_937378,1
T1_251261,1
T1_1833897,1
T1_767840,1
T1_388657,1
T1_1547661,1
T1_1577842,1
T1_326916,1
T1_190067,1
T1_292993,1
T1_698911,1
T1_176280,1
T1_1300630,1
T1_750322,1
T1_753744,1
T1_1704661,1
T1_1102203,1
T1_1017017,1
T1_639101,1
T1_274533,1
T1_815645,1
T1_717429,1
T1_104619,1
T1_1414727,1
T1_698926,1
T1_750132,1
T1_745394,1
T1_745763,1
T1_1315250,1
T1_1523906,1
T1_748819,1
T1_1790513,1
T1_745450,1
T1_1722753,1
T1_1034882,1
T1_754734,1
T1_1524239,1
T1_750986,1
T1_753193,1
T1_815295,1
T1_699055,1
T1_1435731,1
T1_752190,1
T1_1238979,1
T1_698789,1
T1_629043,1
T1_751811,1
T1_826101,1
T1_627927,1
T1_750984,1
T1_216903,1
T1_186538,1
T1_176226,1
T1_1435650,1
T1_1175205,1
T1_124195,1
T1_1414874,1
T1_748557,1
T1_1840260,1
T1_1523757,1
T1_640381,1
T1_751794,1
T1_639824,1
T1_717057,1
T1_1245722,1
T1_706591,1
T1_4459,1
T1_640098,1
T1_12277,1
T1_751798,1
T1_119027,1
T1_1794007,1
T1_806338,1
T1_605535,1
T1_1435648,1
T1_272681,1
T1_1253039,1
T1_1722737,1
T1_601743,1
T1_1352006,1
T1_371912,1
T1_726450,1
T1_741242,1
T1_699322,1
T1_1175268,1
T1_198125,1
T1_279883,1
T1_752122,1
T1_1833839,1
T1_348404,1
T1_680412,1
T1_748555,1
T1_601356,1
T1_1435733,1
T1_806492,1
T1_748917,1
T1_746624,1
T1_877426,1
T1_719678,1
T1_699386,1
T1_1164725,1
T1_118651,1
T1_751732,1
T1_1139390,1
T1_718671,1
T1_334015,1
T1_601800,1
T1_255371,1
T1_1175323,1
T1_293950,1
T1_753392,1
T1_750472,1
T1_270481,1
T1_560780,1
T1_155194,1
T1_133038,1
T1_752602,1
T1_1165037,1
T1_937885,1
T1_345836,1
T1_644158,1
T1_2573,1
T1_699503,1
T1_746297,1
T1_1429365,1
T1_406629,1
T1_1469744,1
T1_750134,1
T1_698816,1
T1_289665,1
T1_561094,1
T1_101846,1
T1_752536,1
T1_637231,1
T1_441323,1
T1_326962,1
T1_341896,1
T1_1524196,1
T1_465508,1
T1_165923,1
T1_162313,1
T1_746195,1
T1_806405,1
T1_746080,1
T1_1918395,1
T1_1518097,1
T1_352857,1
T1_1414837,1
T1_657723,1
T1_1078283,1
T1_718648,1
T1_242312,1
T1_351545,1
T1_718256,1
T1_745686,1
T1_750384,1
T1_754672,1
T1_629757,1
T1_639542,1
T1_605479,1
T1_1016992,1
T1_204015,1
T1_629717,1
T1_443747,1
T1_1240147,1
T1_1547260,1
T1_1524291,1
T1_718656,1
T1_274325,1
T1_118600,1
T1_132302,1
T1_777858,1
T1_751824,1
T1_155715,1
T1_754360,1
T1_183245,1
T1_1757833,1
T1_719830,1
T1_128885,1
T1_468653,1
T1_777809,1
T1_699421,1
T1_1642920,1
T1_1620443,1
T1_640319,1
T1_1034935,1
T1_1768641,1
T1_169752,1
T1_699608,1
T1_401446,1
T1_751582,1
T1_452607,1
T1_385166,1
T1_698179,1
T1_1435697,1
T1_1918373,1
T1_750019,1
T1_1411754,1
T1_549355,1
T1_82153,1
T1_225000,1
T1_719682,1
T1_1469871,1
T1_748919,1
T1_1469870,1
T1_186376,1
T1_1165039,1
T1_629162,1
T1_1080760,1
T1_224450,1
T1_323783,1
T1_1164982,1
T1_1351773,1
T1_178138,1
T1_629831,1
T1_180935,1
T1_751800,1
T1_628726,1
T1_704304,1
T1_1523907,1
T1_718492,1
T1_1435853,1
T1_709883,1
T1_1879194,1
T1_748688,1
T1_202133,1
T1_1084376,1
T1_286271,1
T1_1435851,1
T1_639283,1
T1_445013,1
T1_753272,1
T1_717947,1
T1_639259,1
T1_699074,1
T1_748818,1
T1_1102315,1
T1_533909,1
T1_1018869,1
T1_628764,1
T1_1239291,1
T1_561149,1
T1_717261,1
T1_752518,1
T1_169357,1
T1_745997,1
T1_777644,1
T1_748918,1
T1_750248,1
T1_751828,1
T1_753238,1
T1_748816,1
T1_753276,1
T1_856353,1
T1_657220,1
T1_1678426,1
T1_639373,1
T1_169308,1
T1_754659,1
T1_754366,1
T1_750321,1
T1_699428,1
T1_629481,1
T1_128804,1
T1_644985,1
T1_630066,1
T1_1175320,1
T1_1252863,1
T1_1342875,1
T1_443194,1
T1_748556,1
T1_380365,1
T1_936808,1
T1_698180,1
T1_750390,1
T1_13014,1
T1_1547367,1
T1_1678393,1
T1_605603,1
T1_1319690,1
T1_741241,1
T1_1175265,1
T1_938135,1
T1_202814,1
T1_295294,1
T1_752021,1
T1_640201,1
T1_639690,1
T1_300613,1
T1_601815,1
T1_1678553,1
T1_719559,1
T1_253024,1
T1_129048,1
T1_752020,1
T1_756284,1
T1_355439,1
T1_750625,1
T1_719560,1
T1_1084334,1
T1_1164787,1
T1_160544,1
T1_639066,1
T1_1676556,1
T1_1252507,1
T1_198290,1
T1_10027,1
T1_533779,1
T1_1435805,1
T1_472785,1
T1_698530,1
